review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Desa wisata yg diinisiasi oleh masyarakatnya.. tdk hanya ""menjual"" pemandangan namun juga local wisdom dan budaya2 Aceh termasuk makanannya (kuliner Aceh). Mrk juga punya homestay, kesenian local oleh anak2 muda, handycraft dr recycle sampah, punya event tahunan (Nusa Festival) dan lain-lain... (foto2 menyusul yaa hehehe)",desa wisata diinisiasi masyarakatnya menjual pemandangan local wisdom budaya aceh makanannya kuliner aceh homestay kesenian local anak muda handycraft recycle sampah event tahunan nusa festival foto menyusul hehehe,desa wisata inisiasi masyarakat jual pandang local wisdom budaya aceh makan kuliner aceh homestay seni local anak muda handycraft recycle sampah event tahun nusa festival foto susul hehehe,"Desa wisata yg diinisiasi oleh masyarakatnya.. tdk hanya ""menjual"" pemandangan namun juga local wisdom dan budaya2 Aceh termasuk makanannya (kuliner Aceh). Mrk juga punya homestay, kesenian local oleh anak2 muda, handycraft dr recycle sampah, punya event tahunan (Nusa Festival) dan lain-lain... (foto2 menyusul yaa hehehe)",5,Ratna Sary,2022-01-28T15:48:43.353Z,Gampong Nusa,Aceh
"Desa Wisata Terbaik Nasional 2021
#aceh",desa wisata terbaik nasional aceh,desa wisata baik nasional aceh,"Desa Wisata Terbaik Nasional 2021
#aceh",4,cek 8ulq,2022-01-11T11:02:02.324Z,Gampong Nusa,Aceh
Asri dan nyaman.,asri nyaman,asri nyaman,Asri dan nyaman.,5,Ifan Boim,2021-12-19T04:07:45.631Z,Gampong Nusa,Aceh
Mantap,mantap,mantap,Mantap,5,fauzi arja,2021-11-19T15:42:04.383Z,Gampong Nusa,Aceh
Sangat mempesona,mempesona,pesona,Sangat mempesona,5,Masykur,2021-11-16T04:31:59.836Z,Gampong Nusa,Aceh
"Bagus, ada klip lagu di sana ...",bagus klip lagu,bagus klip lagu,"Bagus, ada klip lagu di sana ...",5,Buchari Attajiri,2021-11-12T10:44:12.837Z,Gampong Nusa,Aceh
"Masyarakatnya sangat ramah, tempat belajar mengelola desa wisata",masyarakatnya ramah belajar mengelola desa wisata,masyarakat ramah ajar kelola desa wisata,"Masyarakatnya sangat ramah, tempat belajar mengelola desa wisata",5,EVI JOURNEY,2021-11-12T06:13:54.999Z,Gampong Nusa,Aceh
Alami dan perlu dibenahi sarana dan prasarana utk menunjang giat pariwisata,alami dibenahi sarana prasarana menunjang giat pariwisata,alami benah sarana prasarana tunjang giat pariwisata,Alami dan perlu dibenahi sarana dan prasarana utk menunjang giat pariwisata,3,Rd. IWAN SOENARYO,2021-10-28T08:56:45.756Z,Gampong Nusa,Aceh
Gampong wisata dengan keramahan penduduknya.,gampong wisata keramahan penduduknya,gampong wisata ramah duduk,Gampong wisata dengan keramahan penduduknya.,3,Mama Daffa,2021-09-27T02:43:12.865Z,Gampong Nusa,Aceh
"Desa Wisata Terbaik tahun ini untuk Provinsi Aceh.

Suasanyanya sejuk, segar, dan bersih. Keramahan warganya luar biasa. Memiliki program wisata tentatif yang sangat menarik, memgutamakan potensi budaya Aceh dan kolaborasi antar warga.

Semoga kedepan Desa ini semakin baik, menemukan potensi-potensi lainnya dari desa, sehingga menjadi magnet wisatawan saat berkunjung ke Aceh.",desa wisata terbaik tahun provinsi aceh suasanyanya sejuk segar bersih keramahan warganya memiliki program wisata tentatif menarik memgutamakan potensi budaya aceh kolaborasi warga semoga kedepan desa menemukan potensi potensi desa magnet wisatawan berkunjung aceh,desa wisata baik tahun provinsi aceh suasanyanya sejuk segar bersih ramah warga milik program wisata tentatif tarik memgutamakan potensi budaya aceh kolaborasi warga moga depan desa temu potensi potensi desa magnet wisatawan kunjung aceh,"Desa Wisata Terbaik tahun ini untuk Provinsi Aceh.

Suasanyanya sejuk, segar, dan bersih. Keramahan warganya luar biasa. Memiliki program wisata tentatif yang sangat menarik, memgutamakan potensi budaya Aceh dan kolaborasi antar warga.

Semoga kedepan Desa ini semakin baik, menemukan potensi-potensi lainnya dari desa, sehingga menjadi magnet wisatawan saat berkunjung ke Aceh.",5,Muhammad IQbal,2021-09-04T08:20:01.705Z,Gampong Nusa,Aceh
memiliki pemandangan yang indah,memiliki pemandangan indah,milik pandang indah,memiliki pemandangan yang indah,5,Cut Fitra Fashalwa,2021-08-31T17:02:49.517Z,Gampong Nusa,Aceh
Yg penasaran kunjungi aja🤭,penasaran kunjungi,penasaran kunjung,Yg penasaran kunjungi aja🤭,3,Kamaru Ilham,2021-08-10T05:04:42.092Z,Gampong Nusa,Aceh
Sangat rekomendasi untuk dikunjungi,rekomendasi dikunjungi,rekomendasi kunjung,Sangat rekomendasi untuk dikunjungi,5,Zulkarnain,2021-06-16T07:01:10.595Z,Gampong Nusa,Aceh
"Desa wisata ini menyediakan berbagai paket wisata yang dapat dinikmati oleh anda bersama rekan dan keluarga.

Tersedia 43 homestay yang dapat anda tempati bersama rombongan. Dimana anda dapat menikmati berlibur sambil mempelajari kebiasaan dan kearifan lokal yang ada di desa wisata ini.

Selamat berkunjung dan nikmati keramahan warga desa ini dengan segenap keunikan yang tidak anda dapatkan di destinasi wisata lainnya.",desa wisata menyediakan paket wisata dinikmati rekan keluarga tersedia homestay tempati rombongan dimana menikmati berlibur mempelajari kebiasaan kearifan lokal desa wisata selamat berkunjung nikmati keramahan warga desa segenap keunikan dapatkan destinasi wisata,desa wisata sedia paket wisata nikmat rekan keluarga sedia homestay tempat rombong mana nikmat libur ajar biasa arif lokal desa wisata selamat kunjung nikmat ramah warga desa segenap uni dapat destinasi wisata,"Desa wisata ini menyediakan berbagai paket wisata yang dapat dinikmati oleh anda bersama rekan dan keluarga.

Tersedia 43 homestay yang dapat anda tempati bersama rombongan. Dimana anda dapat menikmati berlibur sambil mempelajari kebiasaan dan kearifan lokal yang ada di desa wisata ini.

Selamat berkunjung dan nikmati keramahan warga desa ini dengan segenap keunikan yang tidak anda dapatkan di destinasi wisata lainnya.",4,Moer,2021-05-29T12:56:18.724Z,Gampong Nusa,Aceh
lebih alami..,alami,alami,lebih alami..,4,Ahmad Syaukani,2021-03-03T10:37:40.828Z,Gampong Nusa,Aceh
"Langit biru, pegunungan nan hijau. Rumpit ilalang menguning. Air sungai mengalir jernih",langit biru pegunungan nan hijau rumpit ilalang menguning air sungai mengalir jernih,langit biru gunung nan hijau rumpit ilalang kuning air sungai alir jernih,"Langit biru, pegunungan nan hijau. Rumpit ilalang menguning. Air sungai mengalir jernih",4,Vitri Suryati,2020-12-16T15:40:06.754Z,Gampong Nusa,Aceh
"Gampong yang tertata dengan baik, bersih, dan asri. Ada spot terbaru yang disiapkan. Untuk masuk kesini, pengunjung cukup membayar 5ribu saja. Ada guest house juga yang disediakan bagi yang ingin staycation. Keripik oen temurui sebagai salah satu pilihan cemilan khas disini.",gampong tertata bersih asri spot terbaru disiapkan kesini pengunjung membayar ribu guest house disediakan staycation keripik oen temurui salah pilihan cemilan khas,gampong tata bersih asri spot baru siap kesini unjung bayar ribu guest house sedia staycation keripik oen temurui salah pilih cemilan khas,"Gampong yang tertata dengan baik, bersih, dan asri. Ada spot terbaru yang disiapkan. Untuk masuk kesini, pengunjung cukup membayar 5ribu saja. Ada guest house juga yang disediakan bagi yang ingin staycation. Keripik oen temurui sebagai salah satu pilihan cemilan khas disini.",5,Nia Fardina,2020-09-18T10:06:36.330Z,Gampong Nusa,Aceh
Lokasi Desanya masih alami & asri,lokasi desanya alami asri,lokasi desa alami asri,Lokasi Desanya masih alami & asri,5,Firman syah,2019-09-25T10:20:54.053Z,Gampong Nusa,Aceh
"Tempat Wisata yang Worth Its banget !!!!
Rugi kalau jalan-jalan ke Banda Aceh atau Aceh Besar tapi gak singgah ke Gampong Nusa. Gampong Nusa kian mendunia. Hmm,  banyak wisatawan yang mengunjungi wisata ini. Dan yang paling utama, tempat ini bukan tempat wisata biasa.  Tapi banyak nilai-nilai Kebudayaan Aceh yang masih dilestarikan disini. Jangan Lupa Mampir :')",wisata worth its banget rugi jalan jalan banda aceh aceh singgah gampong nusa gampong nusa kian mendunia hmm wisatawan mengunjungi wisata utama wisata nilai nilai kebudayaan aceh dilestarikan lupa mampir,wisata worth its banget rugi jalan jalan banda aceh aceh singgah gampong nusa gampong nusa kian dunia hmm wisatawan unjung wisata utama wisata nilai nilai budaya aceh lestari lupa mampir,"Tempat Wisata yang Worth Its banget !!!!
Rugi kalau jalan-jalan ke Banda Aceh atau Aceh Besar tapi gak singgah ke Gampong Nusa. Gampong Nusa kian mendunia. Hmm,  banyak wisatawan yang mengunjungi wisata ini. Dan yang paling utama, tempat ini bukan tempat wisata biasa.  Tapi banyak nilai-nilai Kebudayaan Aceh yang masih dilestarikan disini. Jangan Lupa Mampir :')",5,Lia Maisarah,2019-09-24T02:57:03.866Z,Gampong Nusa,Aceh
Desa yang menjadi bahan percontohan untuk desa lain,desa bahan percontohan desa,desa bahan contoh desa,Desa yang menjadi bahan percontohan untuk desa lain,5,Dekdin Arani,2019-09-19T01:46:34.531Z,Gampong Nusa,Aceh
"Desa Wisata yang dibangun dari nol sejak delapan tahun silam, yang tidak ada apa-apanya kini mulai mendapat nama di masyarakat, khususnya wisatawan baik lokal dan mancanegara. Ada apa saja di Gampong Nusa ini? Sebaiknya datang dan nikmati sendiri akan lebih terasa 😁",desa wisata dibangun nol delapan tahun silam apanya nama masyarakat wisatawan lokal mancanegara gampong nusa nikmati,desa wisata bangun nol delapan tahun silam apa nama masyarakat wisatawan lokal mancanegara gampong nusa nikmat,"Desa Wisata yang dibangun dari nol sejak delapan tahun silam, yang tidak ada apa-apanya kini mulai mendapat nama di masyarakat, khususnya wisatawan baik lokal dan mancanegara. Ada apa saja di Gampong Nusa ini? Sebaiknya datang dan nikmati sendiri akan lebih terasa 😁",5,iloveaceh,2019-09-09T12:17:27.243Z,Gampong Nusa,Aceh
Gampong droe,gampong droe,gampong droe,Gampong droe,5,Baihaqi usman,2019-08-11T07:40:04.920Z,Gampong Nusa,Aceh
"Masyarakat nya ramah
Kulinernya khas aceh bgt
Luar biasa untul desa wisata ini",masyarakat ramah kulinernya khas aceh banget untul desa wisata,masyarakat ramah kuliner khas aceh banget untul desa wisata,"Masyarakat nya ramah
Kulinernya khas aceh bgt
Luar biasa untul desa wisata ini",5,cici nurrahmah,2019-06-30T10:41:13.632Z,Gampong Nusa,Aceh
Kampong Top buat dikunjung,kampong top dikunjung,kampong top kunjung,Kampong Top buat dikunjung,5,Fadhlan Bachtiar,2019-06-21T16:12:11.272Z,Gampong Nusa,Aceh
Oke,oke,oke,Oke,5,Ayas Nusa Official,2019-06-16T07:29:29.842Z,Gampong Nusa,Aceh
Gampong percontohan,gampong percontohan,gampong contoh,Gampong percontohan,5,Hamid Piliang,2019-05-17T23:38:45.850Z,Gampong Nusa,Aceh
Nice,nice,nice,Nice,5,Intan Afrida,2019-04-12T11:13:00.667Z,Gampong Nusa,Aceh
Nice place,nice place,nice place,Nice place,5,Aziz Mukramin,2019-04-03T13:10:42.869Z,Gampong Nusa,Aceh
good,good,good,good,5,akhyar nusa,2019-04-02T08:01:49.253Z,Gampong Nusa,Aceh
