review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Suasana menyatu dengan alam dengan kearifan lokal...air yang jernih dan tempat yang bersih  menenangan pikiran. pulang2 freeesss dech👍,suasana menyatu alam kearifan lokal air jernih bersih menenangan pikiran pulang freeesss,suasana satu alam arif lokal air jernih bersih tenang pikir pulang freeesss,Suasana menyatu dengan alam dengan kearifan lokal...air yang jernih dan tempat yang bersih  menenangan pikiran. pulang2 freeesss dech👍,5,Enricho Lekawael,2023-01-05T04:02:33.149Z,Desa Wisata Setulang,Kalimantan Utara
Desa yang menampilkan budaya etnis Dayak Kenyah,desa menampilkan budaya etnis dayak kenyah,desa tampil budaya etnis dayak kenyah,Desa yang menampilkan budaya etnis Dayak Kenyah,3,wandin,2023-01-03T23:30:27.611Z,Desa Wisata Setulang,Kalimantan Utara
Memberikan kesan adat budaya yang masih kental,kesan adat budaya kental,kesan adat budaya kental,Memberikan kesan adat budaya yang masih kental,5,Ulya Saida tazkiah,2022-12-04T09:10:59.400Z,Desa Wisata Setulang,Kalimantan Utara
Nice view,nice view,nice view,Nice view,5,fendi asrian,2022-11-10T04:56:40.357Z,Desa Wisata Setulang,Kalimantan Utara
Badaahh leh,badaahh,badaahh,Badaahh leh,5,Jos Jos bus,2022-08-05T04:22:33.077Z,Desa Wisata Setulang,Kalimantan Utara
Kembangkan lebih baik lagi👍,kembangkan,kembang,Kembangkan lebih baik lagi👍,5,Martin Adam,2022-05-06T06:51:57.477Z,Desa Wisata Setulang,Kalimantan Utara
"Wisata alam dan petualang yg murah meriah, bisa camping, renang dll. Airnya jernih alami.",wisata alam petualang murah meriah camping renang dll airnya jernih alami,wisata alam tualang murah riah camping renang dll air jernih alami,"Wisata alam dan petualang yg murah meriah, bisa camping, renang dll. Airnya jernih alami.",3,agung sutrisno,2022-04-27T00:24:18.853Z,Desa Wisata Setulang,Kalimantan Utara
"Sungainya sebening kaca, sangat bening, jernih, bebas polusi dan sangat nyaman untuk mandi mandi baik untuk healing maupun camping.",sungainya sebening kaca bening jernih bebas polusi nyaman mandi mandi healing camping,sungai bening kaca bening jernih bebas polusi nyaman mandi mandi healing camping,"Sungainya sebening kaca, sangat bening, jernih, bebas polusi dan sangat nyaman untuk mandi mandi baik untuk healing maupun camping.",4,Agung Sutrisno,2022-04-17T06:59:52.780Z,Desa Wisata Setulang,Kalimantan Utara
desanya bersih masyarakatnya ramah,desanya bersih masyarakatnya ramah,desa bersih masyarakat ramah,desanya bersih masyarakatnya ramah,5,Mahdi Hafiz,2022-03-11T11:53:22.806Z,Desa Wisata Setulang,Kalimantan Utara
Tempat yang indah untuk dikunjungi,indah dikunjungi,indah kunjung,Tempat yang indah untuk dikunjungi,5,Paulus Cahyatama Y.A.P (Rico),2022-03-11T05:59:15.306Z,Desa Wisata Setulang,Kalimantan Utara
