review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Desa ini adalah sebuah hidden gems buat yang ingin menikmati sunset dengan keadaan yang sejuk ,karena dikelilingi hutan mangrove,makanan dan minuman disini tak kalah enaknya dibandingkan dengan  tempat wisata lain di Sulawesi Utara.😍",desa hidden gems menikmati sunset sejuk dikelilingi hutan mangrove makanan minuman kalah enaknya dibandingkan wisata sulawesi utara,desa hidden gems nikmat sunset sejuk keliling hutan mangrove makan minum kalah enak banding wisata sulawesi utara,"Desa ini adalah sebuah hidden gems buat yang ingin menikmati sunset dengan keadaan yang sejuk ,karena dikelilingi hutan mangrove,makanan dan minuman disini tak kalah enaknya dibandingkan dengan  tempat wisata lain di Sulawesi Utara.😍",5,THE Star Fun,2024-10-01T09:15:37.824Z,Desa Wisata Budo,Sulawesi Utara
"Tempat yg nyaman, tenang dengan pemandangan yg menawan",nyaman tenang pemandangan menawan,nyaman tenang pandang tawan,"Tempat yg nyaman, tenang dengan pemandangan yg menawan",5,Mega Iswari,2024-09-14T11:11:23.073Z,Desa Wisata Budo,Sulawesi Utara
"Ini saalah satu destinasi wisata yg ada di minahasa utara & pernah meraih gelar desa wisata di tingkat nasional yg di selenggarakan oleh kemenparekraf.. desa wisata budo ini tempatnya sangat indah & memilki juga penginapan utk para wisatawan yg ingin nginap. Memiliki wisata kuliner juga..
Desa wisata manggrove juga.
Spot sunset terbaik juga",saalah destinasi wisata minahasa utara meraih gelar desa wisata tingkat nasional selenggarakan kemenparekraf desa wisata budo tempatnya indah memilki penginapan wisatawan nginap memiliki wisata kuliner desa wisata manggrove spot sunset terbaik,saalah destinasi wisata minahasa utara raih gelar desa wisata tingkat nasional selenggara kemenparekraf desa wisata budo tempat indah memilki inap wisatawan nginap milik wisata kuliner desa wisata manggrove spot sunset baik,"Ini saalah satu destinasi wisata yg ada di minahasa utara & pernah meraih gelar desa wisata di tingkat nasional yg di selenggarakan oleh kemenparekraf.. desa wisata budo ini tempatnya sangat indah & memilki juga penginapan utk para wisatawan yg ingin nginap. Memiliki wisata kuliner juga..
Desa wisata manggrove juga.
Spot sunset terbaik juga",5,Stanley Supit,2024-08-11T01:45:45.072Z,Desa Wisata Budo,Sulawesi Utara
"Lokasinya sangat bagus. Jl masuk terlalu sempit, sebaiknya tidak gunakan pagar beton agar jl bisa lebih luas.",lokasinya bagus jl sempit pagar beton jl luas,lokasi bagus jl sempit pagar beton jl luas,"Lokasinya sangat bagus. Jl masuk terlalu sempit, sebaiknya tidak gunakan pagar beton agar jl bisa lebih luas.",4,Nancy M,2024-08-01T04:12:59.758Z,Desa Wisata Budo,Sulawesi Utara
Beli kopi airnya segalon.. Parah,beli kopi airnya segalon parah,beli kopi air galon parah,Beli kopi airnya segalon.. Parah,3,Dede soleh,2024-07-19T06:42:19.884Z,Desa Wisata Budo,Sulawesi Utara
Sebenarnya tempatnya sangat bagus cuma sepertinya sudah tidak terawat.,tempatnya bagus terawat,tempat bagus awat,Sebenarnya tempatnya sangat bagus cuma sepertinya sudah tidak terawat.,5,vallery angel,2024-07-04T09:46:32.505Z,Desa Wisata Budo,Sulawesi Utara
Hidanganya  enak untuk di nikmati,hidanganya nikmati,hidanganya nikmat,Hidanganya  enak untuk di nikmati,5,sogili itang,2024-06-24T05:17:15.859Z,Desa Wisata Budo,Sulawesi Utara
"Pemandangan yang indah, makanan minuman cemilan yang lengkap, sangat ramai apabila datang saat akhir pekan, view terbaik pada saat sore hingga malam karena ada lampu""",pemandangan indah makanan minuman cemilan lengkap ramai pekan view terbaik sore malam lampu,pandang indah makan minum cemilan lengkap ramai pekan view baik sore malam lampu,"Pemandangan yang indah, makanan minuman cemilan yang lengkap, sangat ramai apabila datang saat akhir pekan, view terbaik pada saat sore hingga malam karena ada lampu""",5,Rizkilia Ponengoh,2024-06-10T09:44:50.984Z,Desa Wisata Budo,Sulawesi Utara
"Bagus. Asri. Estetik.
Kekurangannya hanya di perawatan. Beberapa gazebo terlihat kurang terawat.
Saya lihat memang masih sementara pengembangan untuk gazebo lainnya.
Tinggal di tambah promosi, pengembangan UMKM makanan, minuman, harusnya kedepannya bisa menjadi salah satu pusat wisata",bagus asri estetik kekurangannya perawatan gazebo terawat pengembangan gazebo tinggal promosi pengembangan umkm makanan minuman kedepannya salah pusat wisata,bagus asri estetik kurang awat gazebo awat kembang gazebo tinggal promosi kembang umkm makan minum depan salah pusat wisata,"Bagus. Asri. Estetik.
Kekurangannya hanya di perawatan. Beberapa gazebo terlihat kurang terawat.
Saya lihat memang masih sementara pengembangan untuk gazebo lainnya.
Tinggal di tambah promosi, pengembangan UMKM makanan, minuman, harusnya kedepannya bisa menjadi salah satu pusat wisata",4,Drew,2024-05-23T16:08:07.837Z,Desa Wisata Budo,Sulawesi Utara
"Bagus
Nikmat
Cocok",bagus nikmat cocok,bagus nikmat cocok,"Bagus
Nikmat
Cocok",4,maz jay,2024-05-05T06:30:54.801Z,Desa Wisata Budo,Sulawesi Utara
